IP地址	数据中心	地区	城市	网络延迟
104.17.52.218	HKG	亚太地区	香港	68 ms
104.25.248.244	HKG	亚太地区	香港	68 ms
104.17.202.250	HKG	亚太地区	香港	69 ms
104.18.237.42	HKG	亚太地区	香港	69 ms
104.18.233.254	HKG	亚太地区	香港	69 ms
104.18.232.224	HKG	亚太地区	香港	69 ms
104.18.228.237	HKG	亚太地区	香港	69 ms
104.18.171.181	HKG	亚太地区	香港	69 ms
104.25.255.39	HKG	亚太地区	香港	69 ms
190.93.247.43	HKG	亚太地区	香港	69 ms
104.19.218.1	HKG	亚太地区	香港	69 ms
104.18.185.27	HKG	亚太地区	香港	69 ms
104.18.164.184	HKG	亚太地区	香港	69 ms
104.17.194.201	HKG	亚太地区	香港	69 ms
104.18.145.108	HKG	亚太地区	香港	69 ms
104.17.105.246	HKG	亚太地区	香港	69 ms
104.16.253.51	HKG	亚太地区	香港	69 ms
104.18.92.4	HKG	亚太地区	香港	70 ms
104.25.254.195	HKG	亚太地区	香港	70 ms
104.17.213.183	HKG	亚太地区	香港	70 ms
104.17.109.104	HKG	亚太地区	香港	70 ms
104.19.151.31	HKG	亚太地区	香港	70 ms
104.17.141.168	HKG	亚太地区	香港	70 ms
104.18.172.171	HKG	亚太地区	香港	70 ms
104.16.249.107	HKG	亚太地区	香港	70 ms
104.18.183.187	HKG	亚太地区	香港	70 ms
104.25.251.14	HKG	亚太地区	香港	70 ms
104.18.69.82	HKG	亚太地区	香港	70 ms
104.19.153.200	HKG	亚太地区	香港	71 ms
104.25.242.236	HKG	亚太地区	香港	71 ms
1.1.1.70	NRT	亚太地区	东京	71 ms
104.17.138.64	HKG	亚太地区	香港	71 ms
104.18.74.172	HKG	亚太地区	香港	71 ms
104.17.128.55	HKG	亚太地区	香港	71 ms
1.1.1.40	NRT	亚太地区	东京	71 ms
104.25.240.174	HKG	亚太地区	香港	71 ms
104.18.224.147	HKG	亚太地区	香港	72 ms
104.17.162.254	HKG	亚太地区	香港	72 ms
1.1.1.240	NRT	亚太地区	东京	72 ms
1.1.1.240	NRT	亚太地区	东京	72 ms
1.1.1.79	NRT	亚太地区	东京	72 ms
104.19.150.239	HKG	亚太地区	香港	72 ms
1.1.1.140	NRT	亚太地区	东京	72 ms
1.1.1.112	NRT	亚太地区	东京	73 ms
1.1.1.55	NRT	亚太地区	东京	73 ms
1.1.1.77	NRT	亚太地区	东京	73 ms
1.1.1.68	NRT	亚太地区	东京	73 ms
104.18.234.242	HKG	亚太地区	香港	73 ms
104.18.238.158	HKG	亚太地区	香港	73 ms
1.1.1.254	NRT	亚太地区	东京	73 ms
104.17.63.115	HKG	亚太地区	香港	73 ms
1.1.1.186	NRT	亚太地区	东京	73 ms
1.1.1.230	NRT	亚太地区	东京	74 ms
1.1.1.32	NRT	亚太地区	东京	74 ms
1.1.1.14	NRT	亚太地区	东京	74 ms
1.1.1.146	NRT	亚太地区	东京	74 ms
1.1.1.223	NRT	亚太地区	东京	74 ms
1.1.1.69	NRT	亚太地区	东京	74 ms
1.1.1.120	NRT	亚太地区	东京	74 ms
1.1.1.47	NRT	亚太地区	东京	74 ms
1.1.1.108	NRT	亚太地区	东京	74 ms
1.1.1.118	NRT	亚太地区	东京	74 ms
1.1.1.185	NRT	亚太地区	东京	74 ms
1.1.1.45	NRT	亚太地区	东京	74 ms
1.1.1.55	NRT	亚太地区	东京	74 ms
104.19.221.112	HKG	亚太地区	香港	74 ms
1.1.1.145	NRT	亚太地区	东京	74 ms
1.1.1.232	NRT	亚太地区	东京	74 ms
1.1.1.38	NRT	亚太地区	东京	75 ms
104.18.231.48	HKG	亚太地区	香港	75 ms
1.1.1.66	NRT	亚太地区	东京	75 ms
1.1.1.14	NRT	亚太地区	东京	75 ms
1.1.1.96	NRT	亚太地区	东京	75 ms
1.1.1.115	NRT	亚太地区	东京	75 ms
1.1.1.101	NRT	亚太地区	东京	75 ms
1.1.1.243	NRT	亚太地区	东京	75 ms
1.1.1.216	NRT	亚太地区	东京	76 ms
1.1.1.146	NRT	亚太地区	东京	76 ms
104.18.80.37	HKG	亚太地区	香港	76 ms
1.1.1.149	NRT	亚太地区	东京	76 ms
1.1.1.122	NRT	亚太地区	东京	76 ms
1.1.1.64	NRT	亚太地区	东京	76 ms
104.16.248.66	HKG	亚太地区	香港	76 ms
1.1.1.48	NRT	亚太地区	东京	76 ms
1.1.1.106	NRT	亚太地区	东京	76 ms
1.1.1.122	NRT	亚太地区	东京	76 ms
1.1.1.188	NRT	亚太地区	东京	76 ms
1.1.1.80	NRT	亚太地区	东京	77 ms
1.1.1.65	NRT	亚太地区	东京	77 ms
1.1.1.182	NRT	亚太地区	东京	77 ms
1.1.1.179	NRT	亚太地区	东京	77 ms
1.1.1.119	NRT	亚太地区	东京	77 ms
1.1.1.231	NRT	亚太地区	东京	77 ms
1.1.1.187	NRT	亚太地区	东京	77 ms
1.1.1.75	NRT	亚太地区	东京	77 ms
1.1.1.199	NRT	亚太地区	东京	77 ms
1.1.1.215	NRT	亚太地区	东京	77 ms
1.1.1.111	NRT	亚太地区	东京	77 ms
104.17.106.59	HKG	亚太地区	香港	77 ms
1.1.1.110	NRT	亚太地区	东京	77 ms
1.1.1.184	NRT	亚太地区	东京	77 ms
1.1.1.168	NRT	亚太地区	东京	77 ms
1.1.1.18	NRT	亚太地区	东京	77 ms
1.1.1.220	NRT	亚太地区	东京	77 ms
1.1.1.102	NRT	亚太地区	东京	78 ms
1.1.1.161	NRT	亚太地区	东京	78 ms
1.1.1.126	NRT	亚太地区	东京	78 ms
1.1.1.219	NRT	亚太地区	东京	78 ms
104.19.152.244	HKG	亚太地区	香港	78 ms
141.101.114.215	HKG	亚太地区	香港	78 ms
1.1.1.101	NRT	亚太地区	东京	78 ms
1.1.1.100	NRT	亚太地区	东京	78 ms
1.1.1.15	NRT	亚太地区	东京	78 ms
1.1.1.113	NRT	亚太地区	东京	78 ms
1.1.1.19	NRT	亚太地区	东京	78 ms
104.17.61.209	HKG	亚太地区	香港	78 ms
1.1.1.70	NRT	亚太地区	东京	78 ms
1.1.1.127	NRT	亚太地区	东京	78 ms
1.1.1.149	NRT	亚太地区	东京	78 ms
1.1.1.252	NRT	亚太地区	东京	78 ms
1.1.1.138	NRT	亚太地区	东京	78 ms
1.1.1.193	NRT	亚太地区	东京	78 ms
1.1.1.201	NRT	亚太地区	东京	78 ms
1.1.1.52	NRT	亚太地区	东京	78 ms
1.1.1.101	NRT	亚太地区	东京	79 ms
1.1.1.133	NRT	亚太地区	东京	79 ms
1.1.1.227	NRT	亚太地区	东京	79 ms
1.1.1.18	NRT	亚太地区	东京	79 ms
1.1.1.85	NRT	亚太地区	东京	79 ms
1.1.1.146	NRT	亚太地区	东京	79 ms
1.1.1.34	NRT	亚太地区	东京	79 ms
1.1.1.110	NRT	亚太地区	东京	79 ms
1.1.1.170	NRT	亚太地区	东京	79 ms
1.1.1.208	NRT	亚太地区	东京	80 ms
1.1.1.206	NRT	亚太地区	东京	80 ms
1.1.1.16	NRT	亚太地区	东京	80 ms
1.1.1.47	NRT	亚太地区	东京	80 ms
1.1.1.182	NRT	亚太地区	东京	80 ms
1.1.1.10	NRT	亚太地区	东京	80 ms
1.1.1.194	NRT	亚太地区	东京	80 ms
1.1.1.75	NRT	亚太地区	东京	80 ms
1.1.1.81	NRT	亚太地区	东京	80 ms
1.1.1.172	NRT	亚太地区	东京	80 ms
1.1.1.30	NRT	亚太地区	东京	80 ms
1.1.1.252	NRT	亚太地区	东京	81 ms
1.1.1.59	NRT	亚太地区	东京	81 ms
1.1.1.116	NRT	亚太地区	东京	81 ms
1.1.1.114	NRT	亚太地区	东京	81 ms
1.1.1.84	NRT	亚太地区	东京	81 ms
1.1.1.225	NRT	亚太地区	东京	81 ms
1.1.1.188	NRT	亚太地区	东京	81 ms
1.1.1.187	NRT	亚太地区	东京	81 ms
1.1.1.214	NRT	亚太地区	东京	81 ms
1.1.1.150	NRT	亚太地区	东京	81 ms
1.1.1.157	NRT	亚太地区	东京	82 ms
1.1.1.163	NRT	亚太地区	东京	82 ms
1.1.1.204	NRT	亚太地区	东京	82 ms
1.1.1.73	NRT	亚太地区	东京	82 ms
1.1.1.241	NRT	亚太地区	东京	82 ms
1.1.1.29	NRT	亚太地区	东京	82 ms
1.1.1.135	NRT	亚太地区	东京	82 ms
1.1.1.155	NRT	亚太地区	东京	82 ms
1.1.1.93	NRT	亚太地区	东京	82 ms
1.1.1.125	NRT	亚太地区	东京	82 ms
1.1.1.63	NRT	亚太地区	东京	82 ms
1.1.1.48	NRT	亚太地区	东京	82 ms
1.1.1.80	NRT	亚太地区	东京	82 ms
1.1.1.169	NRT	亚太地区	东京	82 ms
1.1.1.109	NRT	亚太地区	东京	83 ms
1.1.1.6	NRT	亚太地区	东京	83 ms
1.1.1.31	NRT	亚太地区	东京	83 ms
1.1.1.245	NRT	亚太地区	东京	83 ms
1.1.1.123	NRT	亚太地区	东京	83 ms
1.1.1.202	NRT	亚太地区	东京	83 ms
1.1.1.9	NRT	亚太地区	东京	83 ms
1.1.1.85	NRT	亚太地区	东京	83 ms
1.1.1.14	NRT	亚太地区	东京	83 ms
1.1.1.207	NRT	亚太地区	东京	83 ms
1.1.1.229	NRT	亚太地区	东京	83 ms
1.1.1.17	NRT	亚太地区	东京	83 ms
1.1.1.237	NRT	亚太地区	东京	83 ms
1.1.1.145	NRT	亚太地区	东京	83 ms
1.1.1.102	NRT	亚太地区	东京	84 ms
1.1.1.149	NRT	亚太地区	东京	84 ms
1.1.1.226	NRT	亚太地区	东京	84 ms
1.1.1.164	NRT	亚太地区	东京	84 ms
1.1.1.202	NRT	亚太地区	东京	84 ms
1.1.1.137	NRT	亚太地区	东京	84 ms
1.1.1.120	NRT	亚太地区	东京	84 ms
1.1.1.63	NRT	亚太地区	东京	84 ms
104.17.102.166	HKG	亚太地区	香港	84 ms
1.1.1.176	NRT	亚太地区	东京	84 ms
1.1.1.122	NRT	亚太地区	东京	84 ms
1.1.1.158	NRT	亚太地区	东京	84 ms
1.1.1.203	NRT	亚太地区	东京	84 ms
1.1.1.155	NRT	亚太地区	东京	84 ms
1.1.1.41	NRT	亚太地区	东京	85 ms
1.1.1.144	NRT	亚太地区	东京	85 ms
1.1.1.137	NRT	亚太地区	东京	85 ms
1.1.1.90	NRT	亚太地区	东京	85 ms
1.1.1.39	NRT	亚太地区	东京	85 ms
1.1.1.126	NRT	亚太地区	东京	85 ms
1.1.1.99	NRT	亚太地区	东京	85 ms
1.1.1.185	NRT	亚太地区	东京	85 ms
1.1.1.47	NRT	亚太地区	东京	85 ms
1.1.1.195	NRT	亚太地区	东京	85 ms
1.1.1.35	NRT	亚太地区	东京	85 ms
1.1.1.57	NRT	亚太地区	东京	85 ms
1.1.1.46	NRT	亚太地区	东京	85 ms
1.1.1.187	NRT	亚太地区	东京	85 ms
1.1.1.239	NRT	亚太地区	东京	85 ms
1.1.1.176	NRT	亚太地区	东京	86 ms
1.1.1.112	NRT	亚太地区	东京	86 ms
1.1.1.86	NRT	亚太地区	东京	86 ms
1.1.1.112	NRT	亚太地区	东京	86 ms
1.1.1.203	NRT	亚太地区	东京	86 ms
1.1.1.34	NRT	亚太地区	东京	86 ms
1.1.1.16	NRT	亚太地区	东京	86 ms
1.1.1.35	NRT	亚太地区	东京	86 ms
1.1.1.16	NRT	亚太地区	东京	86 ms
1.1.1.91	NRT	亚太地区	东京	86 ms
1.1.1.10	NRT	亚太地区	东京	87 ms
1.1.1.18	NRT	亚太地区	东京	87 ms
1.1.1.192	NRT	亚太地区	东京	87 ms
1.1.1.26	NRT	亚太地区	东京	87 ms
1.1.1.115	NRT	亚太地区	东京	87 ms
1.1.1.115	NRT	亚太地区	东京	87 ms
1.1.1.16	NRT	亚太地区	东京	87 ms
1.1.1.225	NRT	亚太地区	东京	87 ms
1.1.1.101	NRT	亚太地区	东京	87 ms
1.1.1.148	NRT	亚太地区	东京	87 ms
1.1.1.107	NRT	亚太地区	东京	87 ms
1.1.1.168	NRT	亚太地区	东京	87 ms
1.1.1.142	NRT	亚太地区	东京	87 ms
1.1.1.180	NRT	亚太地区	东京	88 ms
1.1.1.121	NRT	亚太地区	东京	88 ms
1.1.1.20	NRT	亚太地区	东京	88 ms
1.1.1.124	NRT	亚太地区	东京	88 ms
1.1.1.155	NRT	亚太地区	东京	88 ms
1.1.1.197	NRT	亚太地区	东京	88 ms
1.1.1.63	NRT	亚太地区	东京	88 ms
1.1.1.175	NRT	亚太地区	东京	88 ms
1.1.1.64	NRT	亚太地区	东京	88 ms
1.1.1.201	NRT	亚太地区	东京	89 ms
1.1.1.242	NRT	亚太地区	东京	89 ms
1.1.1.202	NRT	亚太地区	东京	89 ms
1.1.1.115	NRT	亚太地区	东京	89 ms
1.1.1.203	NRT	亚太地区	东京	89 ms
1.1.1.253	NRT	亚太地区	东京	89 ms
1.1.1.11	NRT	亚太地区	东京	89 ms
1.1.1.59	NRT	亚太地区	东京	89 ms
1.1.1.44	NRT	亚太地区	东京	90 ms
1.1.1.155	NRT	亚太地区	东京	90 ms
1.1.1.17	NRT	亚太地区	东京	90 ms
1.1.1.180	NRT	亚太地区	东京	90 ms
1.1.1.12	NRT	亚太地区	东京	90 ms
1.1.1.24	NRT	亚太地区	东京	90 ms
1.1.1.31	NRT	亚太地区	东京	90 ms
1.1.1.33	NRT	亚太地区	东京	90 ms
1.1.1.45	NRT	亚太地区	东京	90 ms
1.1.1.69	NRT	亚太地区	东京	90 ms
1.1.1.210	NRT	亚太地区	东京	90 ms
1.1.1.4	NRT	亚太地区	东京	90 ms
1.1.1.69	NRT	亚太地区	东京	90 ms
1.1.1.62	NRT	亚太地区	东京	90 ms
1.1.1.153	NRT	亚太地区	东京	91 ms
1.1.1.29	NRT	亚太地区	东京	91 ms
1.1.1.84	NRT	亚太地区	东京	91 ms
1.1.1.164	NRT	亚太地区	东京	91 ms
1.1.1.135	NRT	亚太地区	东京	92 ms
1.1.1.205	NRT	亚太地区	东京	92 ms
1.1.1.102	NRT	亚太地区	东京	92 ms
1.1.1.230	NRT	亚太地区	东京	92 ms
1.1.1.195	NRT	亚太地区	东京	92 ms
1.1.1.211	NRT	亚太地区	东京	92 ms
1.1.1.223	NRT	亚太地区	东京	93 ms
1.1.1.66	NRT	亚太地区	东京	93 ms
1.1.1.170	NRT	亚太地区	东京	93 ms
1.1.1.33	NRT	亚太地区	东京	93 ms
1.1.1.239	NRT	亚太地区	东京	94 ms
1.1.1.198	NRT	亚太地区	东京	94 ms
1.1.1.28	NRT	亚太地区	东京	94 ms
1.1.1.42	NRT	亚太地区	东京	95 ms
1.1.1.188	NRT	亚太地区	东京	95 ms
1.1.1.81	NRT	亚太地区	东京	95 ms
1.1.1.88	NRT	亚太地区	东京	97 ms
104.17.19.222	SEA	北美洲	西雅图	165 ms
104.17.24.253	SEA	北美洲	西雅图	166 ms
104.26.14.55	SEA	北美洲	西雅图	167 ms
104.17.28.217	SEA	北美洲	西雅图	168 ms
104.17.18.111	SEA	北美洲	西雅图	168 ms
104.22.52.21	SEA	北美洲	西雅图	168 ms
104.26.12.147	SEA	北美洲	西雅图	169 ms
104.16.239.7	SJC	北美洲	圣何塞	170 ms
104.22.21.168	SJC	北美洲	圣何塞	170 ms
104.17.222.14	SJC	北美洲	圣何塞	170 ms
172.67.180.90	LAX	北美洲	洛杉矶	170 ms
104.16.197.174	SJC	北美洲	圣何塞	170 ms
104.26.8.49	SEA	北美洲	西雅图	170 ms
104.18.194.7	SJC	北美洲	圣何塞	170 ms
104.17.31.55	SEA	北美洲	西雅图	170 ms
104.18.200.13	SJC	北美洲	圣何塞	171 ms
104.20.236.56	LAX	北美洲	洛杉矶	171 ms
104.20.175.49	LAX	北美洲	洛杉矶	171 ms
104.16.190.41	SJC	北美洲	圣何塞	171 ms
104.27.27.238	LAX	北美洲	洛杉矶	171 ms
104.19.223.8	SJC	北美洲	圣何塞	171 ms
104.25.116.211	LAX	北美洲	洛杉矶	171 ms
104.24.214.246	LAX	北美洲	洛杉矶	171 ms
104.16.198.99	SJC	北美洲	圣何塞	171 ms
104.21.61.113	LAX	北美洲	洛杉矶	171 ms
104.24.197.185	LAX	北美洲	洛杉矶	171 ms
104.24.198.144	LAX	北美洲	洛杉矶	171 ms
104.27.76.184	LAX	北美洲	洛杉矶	171 ms
104.25.136.65	LAX	北美洲	洛杉矶	171 ms
104.17.144.221	SJC	北美洲	圣何塞	171 ms
104.20.125.61	LAX	北美洲	洛杉矶	171 ms
104.18.189.207	SEA	北美洲	西雅图	171 ms
172.67.230.104	LAX	北美洲	洛杉矶	171 ms
104.24.85.28	LAX	北美洲	洛杉矶	172 ms
104.25.36.30	LAX	北美洲	洛杉矶	172 ms
172.65.243.198	SJC	北美洲	圣何塞	172 ms
104.17.197.93	SJC	北美洲	圣何塞	172 ms
104.17.32.119	SJC	北美洲	圣何塞	172 ms
104.27.81.89	LAX	北美洲	洛杉矶	172 ms
104.25.25.202	LAX	北美洲	洛杉矶	172 ms
104.19.255.163	SJC	北美洲	圣何塞	172 ms
104.20.238.118	LAX	北美洲	洛杉矶	172 ms
104.25.107.212	LAX	北美洲	洛杉矶	172 ms
104.16.211.186	SJC	北美洲	圣何塞	172 ms
104.17.160.4	SJC	北美洲	圣何塞	172 ms
104.17.33.32	SJC	北美洲	圣何塞	172 ms
172.67.92.208	LAX	北美洲	洛杉矶	172 ms
104.16.18.121	SJC	北美洲	圣何塞	172 ms
104.16.21.1	SJC	北美洲	圣何塞	172 ms
104.19.180.39	SJC	北美洲	圣何塞	172 ms
104.19.83.231	LAX	北美洲	洛杉矶	172 ms
104.17.214.170	SJC	北美洲	圣何塞	172 ms
104.18.193.163	SJC	北美洲	圣何塞	172 ms
104.24.163.38	LAX	北美洲	洛杉矶	172 ms
104.19.19.174	LAX	北美洲	洛杉矶	172 ms
104.17.30.62	SEA	北美洲	西雅图	172 ms
104.17.121.210	SJC	北美洲	圣何塞	172 ms
104.16.22.243	SJC	北美洲	圣何塞	172 ms
104.20.247.220	LAX	北美洲	洛杉矶	172 ms
104.22.69.103	LAX	北美洲	洛杉矶	172 ms
104.25.115.22	LAX	北美洲	洛杉矶	172 ms
104.23.143.31	LAX	北美洲	洛杉矶	172 ms
